Puesto,Calle,Direecion
EDU17          ,ESTRADA                       ,2058
KIOSCO56       ,F.LACROZE                     ,4078
DEPOSIT15      ,FALTA CALLE           00000065,509
POLICIA17      ,FALTA CALLE           00000085 obsequio,536
BIANCHI        ,FALTA CALLE           00000088 reparto,544
DEPOSI20       ,FALTA CALLE           00000094,562
DEPOPER        ,FALTA CALLE           00000094,562
SOLDADO        ,FEDERICO LACROZE              ,1775
COLEGIALE      ,FERROCARRIL MITRE(EST COLEGIAL,700
118,FRANCISCO N LAPRIDA           ,1758
ALBERTO        ,FRAY JUSTO S DE ORO           ,3009
PETISO         ,FRAY JUSTO S DE ORO           ,3009
HIDALGO        ,GALLARDO                      ,794
ARTUR2D15      ,GANDARA                       ,2211
#ATO 27        ,GASCON                        ,308
MORO25         ,GAZCON                        ,585
242,GODOY CRUZ                    ,2992
GARA           ,GOROSTIAGA                    ,1898
QUIQUE25       ,GRAL EUSTUAQUIO DIAZ VELEZ    ,3917
7,GRAL HORNOS                   ,3900
GRAFA17        ,GRAL J G DE ARTIGAS           ,5598
PEDRO          ,GRAL RAMON FREIRE             ,2253
VEGA           ,GRAL RAMON FREIRE             ,1999
GRIVEO17       ,GRIVEO                        ,2501
PIBE25         ,GUEVARA                       ,401
AMATO 55       ,GURRUCHAGA                    ,339
VIEJO          ,GURRUCHAGA                    ,593
HOMBERG        ,HOLMBERG                      ,2600
REGALO20       ,HONDURAS                      ,5691
85,HUMBOLDT                      ,2306
CARLITO55      ,HUMBOLDT                      ,9
CATA17         ,IBERA                         ,5614
HUGO           ,IRIARTE                       ,1341
MERCADO        ,J AGUSTIN GARCIA              ,2913
CAYETANO20     ,J.L.BORGES                    ,1637
ADELINA25      ,JERONIMO SALGUERO             ,420
93,JORGE NEWBERY                 ,1898
387,JOSE HERNANDEZ                ,2681
76,JOSE HERNANDEZ                ,2145
18,JOSE HERNANDEZ Y 3 DE FEBRERO ,0
NAZCA17        ,JOSE LEON CABEZON             ,2894
VELAZCO25      ,JUAN R DE VELAZCO             ,1495
JUFRE25        ,JUFRE                         ,390
59,JURAMENTO                     ,1985
100,JURAMENTO                     ,1608
31,JURAMENTO                     ,2527
254,JURAMENTO                     ,2149
29,LA PAMPA                      ,2875
359,LA PAMPA                      ,2479
BARRANCAS      ,LA PAMPA                      ,1602
PAMPA20        ,LA PAMPA                      ,1531
370,LA PAMPA                      ,3048
CASTRO         ,LA PAMPA                      ,3400
NAON           ,LA PAMPA                      ,3774
PAMPA56        ,LA PAMPA                      ,5996
340,LARRALDE                      ,2079
339,LARRALDE                      ,1935
TANO           ,LOYOLA                        ,207
CAMPOS         ,LUIS MARIA CAMPOS             ,1544
MARIO55        ,LUIS MARIA DRAGO              ,50
ADELIO         ,MAIPU                         ,1196
232,MANUELA PEDRAZA               ,1781
EMILIO         ,MANUELA PEDRAZA               ,2077
42,MANZANARES                    ,2115
316,MARIANO ACHA                  ,3008
MENDOZA15      ,MARIANO ACHA                  ,2102
JUAN 15        ,MARIANO ACHA (EST. DRAGO)     ,1430
ESTACIO27      ,MARTIN DE GAINZA              ,1095
ABADIA         ,MAURE                         ,1765
54,MCAL A J DE SUCRE             ,1385
SAVERIO25      ,MEDRANO                       ,493
24,MENDOZA                       ,2123
LALO 15        ,MENDOZA                       ,5496
TONY 15        ,MENDOZA                       ,5050
JOAQUIN15      ,MENDOZA                       ,506
98,MENDOZA ESQ HUSARES           ,0
VIDAL          ,MENDOZA Y MOLDES              ,0
245,MOLDES                        ,1903
341,MOLDES                        ,2497
26,MONROE                        ,3298
25,MONROE                        ,3397
ERNESTO15      ,MONROE                        ,4481
PASCUAL15      ,MONROE                        ,5392
HILDA          ,MONROE                        ,3106
67,MONROE                        ,3555
ARDUIN         ,MONROE                        ,1802
336,MONROE                        ,3796
213,MONROE                        ,3410
DONADO 15      ,MONROE                        ,4334
68,MONTAYESES                    ,2481
ANGELIT55      ,MURILLO                       ,1100
NU#EZ 15       ,NU･EZ                         ,5620
MIGUEL17       ,NU･EZ Y CERETI                ,0
357,O'HIGGINS                     ,1798
GOMEZ65        ,OLAGUER Y FELIU               ,3397
SANTIAG15      ,OLAZABAL                      ,4935
IDEAL 15       ,OLAZABAL                      ,4935
N 2-17         ,OLAZABAL                      ,5506
337,OLAZABAL                      ,3710
JOSE 15        ,OLAZABAL                      ,4603
OLAZABA15      ,OLAZABAL                      ,4290
ADAM           ,OLLEROS                       ,3996
367,OLLEROS Y LIBERTADOR          ,0
PIPO CHIC      ,OTERO                         ,201
ISIDRO         ,PAMPA                         ,3390
88,PARAGUAY                      ,4687
UGARTE         ,PEDRO I RIVERA                ,3005
19,PICO                          ,2410
41,PINTO                         ,3911
364,PINTO                         ,4760
8,PINTO                         ,3620
12,PINTO                         ,4495
BOGADO25       ,PRINGLES                      ,700
105,RAMALLO Y 11 DE SEPTIEMBRE    ,0
VIROLA25       ,RIO DE JANEIRO                ,995
VICARIO17      ,ROOSBELT                      ,5765
312,ROOSVELT                      ,2585
62,RUIZ HUIDOBRO                 ,4049
1500,SAN MARTIN                    ,1532
POLICIA20      ,SIN CALLE                     ,1000
71,SUCRE                         ,1816
TEODORO G      ,TEODORO GARCIA                ,1800
PIPO GR55      ,THAMES                        ,590
ANDRES17       ,TRIUNVIRATO                   ,5796
URIARTE25      ,URIARTE                       ,1364
390,VIRREY DEL PINO               ,2706
MONI           ,VIRREY LORETO                 ,1506
LUIS65         ,VIRREY LOVETO                 ,3093
ABALLAY65      ,ZAPIOLA                       ,1012
